№,Пример,Левый контекст,Вершина,,Зависимое,Правый контекст,Зависимые вершины,Зависимые генитива,Отношение,Грамм. признаки вершины,Вершина: сем. группа,,Грам. признаки зависимого,Зависимое: сем. группа
103,"Однако, могу предположить, что доктор, исходя из своего врачебного опыта, осмотрев вашего малыша, оценил его состояние и тяжесть течения заболевания и сделал вывод, что, возможно, к вирусному респираторному заболеванию присоединилась еще и бактериальная инфекция.","Однако, могу предположить, что доктор, исходя из своего врачебного опыта, осмотрев вашего малыша, оценил его состояние и тяжесть ",течения,,заболевания," и сделал вывод, что, возможно, к вирусному респираторному заболеванию присоединилась еще и бактериальная инфекция.",,,PAR,Ncnsgn,,,Ncnsgn,
104,"Первым мужем Людмилы Гурченко был Борис Андроникашвили, сценарист и историк, сын писателя Б. Пильняка и двоюродный брат грузинских режиссеров Георгия и Эльдара Шенгелая.",Первым,мужем,,Людмилы,"Гурченко был Борис Андроникашвили, сценарист и историк, сын писателя Б. Пильняка и двоюродный брат грузинских режиссеров Георгия и Эльдара Шенгелая.",,,KIN-SOC,Ncmsiy,Близкое родство,,Npfsgy,
105,"В первую очередь такие программы предполагают глубокую диагностику — жесткий отбор автомобилей, которые дилер имеет право продавать от имени производителяx.",В первую очередь такие программы предполагают глубокую диагностику — жесткий ,отбор,,автомобилей,", которые дилер имеет право продавать от имени производителяx.",,,OB  ,Ncmsan,,,Ncmpgn,
106,"В первую очередь такие программы предполагают глубокую диагностику — жесткий отбор автомобилей, которые дилер имеет право продавать от имени производителяx.","В первую очередь такие программы предполагают глубокую диагностику — жесткий отбор автомобилей, которые дилер имеет право продавать от \",имени,,производителей,.,,,POS,Ncnsgn,,,Ncmpgy,
107,"Подписи под деловыми бумагами, поздравления на открытках, письма родителям... Кажется, это все, — поделился папа будущего первоклассника Дмитрий Николаевич.","Подписи под деловыми бумагами, поздравления на открытках, письма родителям... Кажется, это все, — поделился",папа,будущего,первоклассника,Дмитрий Николаевич.,,,KIN-SOC,Ncmsny,Близкое родство,,Nsmcgy,
108,Жано сейчас самый опасный игрок для ворот соперника.,Жано сейчас самый опасный игрок для,ворот,,соперника,.,,,POS,Ncmpgn,,,Ncmsgy,
109,"Так это же то, что нам надо!  ""Лидер боевиков лишь выражает свою радость по поводу гибели"" садиста, нечестивца, убийцы Буданова"".","Так это же то, что нам надо! """,лидер,,боевиков,"лишь выражает свою радость по поводу гибели"" садиста, нечестивца, убийцы Буданова"".",,,MB,Ncmsny,,,Ncmpgy,
110,"Так это же то, что нам надо!  ""Лидер боевиков лишь выражает свою радость по поводу гибели"" садиста, нечестивца, убийцы Буданова"".","Так это же то, что нам надо! ""Лидер боевиков лишь выражает свою радость по поводу",гибели,,садиста,", нечестивца, убийцы Буданова"".",,,SPA,Ncfsgn,,,Ncmsgy,
111,"Здоровье человека определяют в том числе и по волосам: если человек здоров, волосы у него густые, блестящие, пышные.",,Здоровье,,человека,"определяют в том числе и по волосам: если человек здоров, волосы у него густые, блестящие, пышные.",,,PAR,Ncnsan,,,Ncmsgy,
112,"Как рассказала корреспонденту ""СП"" мама чемпиона, Заур с отличием окончил музыкальную школу, круглый отличник в общеобразовательной школе №20, по итогам года признан лучшим учеником города Невинномысска.","Как рассказала корреспонденту ""СП"" ",мама,,чемпиона,", Заур с отличием окончил музыкальную школу, круглый отличник в общеобразовательной школе №20, по итогам года признан лучшим учеником города Невинномысска.",,,KIN-SOC,Ncfsny,Близкое родство,,Ncmsgy,
113,"Как рассказала корреспонденту ""СП"" мама чемпиона, Заур с отличием окончил музыкальную школу, круглый отличник в общеобразовательной школе №20, по итогам года признан лучшим учеником города Невинномысска.","Как рассказала корреспонденту ""СП"" мама чемпиона, Заур с отличием окончил музыкальную школу, круглый отличник в общеобразовательной школе №20, по итогам года признан лучшим учеником ",учеником,,города, Невинномысска.,,,MB,Ncmsiy,,,Ncmsgn,
114,"Ближайший приятель героя - одноклассник-кореец, который, в частности, заявляет, что не настроен навещать своих корейских бабушку с дедушкой, - лучше укатит на Гавайи.",Ближайший ,приятель,,героя," - одноклассник-кореец, который, в частности, заявляет, что не настроен навещать своих корейских бабушку с дедушкой, - лучше укатит на Гавайи.",,,KIN-SOC,Ncmsny,,,Ncmsgy,
115,"Уже было подготовлено постановление на возбуждение уголовного дела, а владелец зала — некий гражданин Ревишвили — даже написал явку с повинной, как вдруг начальника отдела УНП Сергея Колесникова вызвали в ГУВДф.","Уже было подготовлено постановление на возбуждение уголовного дела, а владелец зала — некий гражданин Ревишвили — даже написал явку с повинной, как вдруг начальника отдела УНП Сергея Колесникова вызвали в ГУВДф.",возбуждение,уголовного,дела,"Уже было подготовлено постановление на возбуждение уголовного дела, а владелец зала — некий гражданин Ревишвили — даже написал явку с повинной, как вдруг начальника отдела УНП Сергея Колесникова вызвали в ГУВДф.",,,OB  ,Ncnsan,,,Ncnsgn,
116,В Вологде задержан соучастник побега из колонии.,В Вологде задержан ,соучастник,,побега, из колонии.,,,SAG,Ncmsny,,,Ncmsgn,
117,"Например, в законопроекте говорится, что при меньшей учетной норме площади имеют право вселиться только родители собственника, его дети и супруг.","Например, в законопроекте говорится, что при меньшей учетной",норме,,площади," имеют право вселиться только родители собственника, его дети и супруг.",,,ATR,Ncnsdn,,,Ncfsgn,
118,"Например, в законопроекте говорится, что при меньшей учетной норме площади имеют право вселиться только родители собственника, его дети и супруг.","Например, в законопроекте говорится, что при меньшей учетной норме площади имеют право вселиться только",родители,,собственника,", его дети и супруг",,,KIN-SOC,Ncmpny,Близкое родство,,Ncmsgy,
119,"В связи с тем, что гражданка М. вовремя не погасила долг, судебный пристав - исполнитель привлек должницу к административной ответственности за неисполнение законных требований судебного пристава и выписал штраф в размере 1 000 рублей.","В связи с тем, что гражданка М. вовремя не погасила долг, судебный пристав - исполнитель привлек должницу к административной ответственности за",неисполнение,законных,требований,судебного пристава и выписал штраф в размере 1 000 рублей.,,,OB  ,Ncnsan,,,Ncnpgn,
120,"В этом спортзале , на тренировках, лидер и сошелся близко с Гамерником, который хоть и был на пять лет его младше и уступал ему на боксерском ринге, но пользовался гораздо большим авторитетом в преступном сообществе и даже благосклонностью самого вора в законе.","В этом спортзале , на тренировках, лидер и сошелся близко с Гамерником, который хоть и был на пять лет его младше и уступал ему на боксерском ринге, но пользовался гораздо большим авторитетом в преступном сообществе и даже ",благосклонностью,самого,вора,в законе.,,,PAR,Ncfsin,,,Ncmsgy,
121,"Когда Владимиру предложили оформить московский офис рекламного агентства ZenithOptimedia, заключение договора, который в числе прочего предполагал, что художник не сможет перепродать изображения, было одним из требований заказчика.",Когда Владимиру предложили оформить московский ,офис,рекламного,агенства," ZenithOptimedia, заключение договора, который в числе прочего предполагал, что художник не сможет перепродать изображения, было одним из требований заказчика.",,,POS,Ncmsan,,,Ncfsgn,
122,"Когда Владимиру предложили оформить московский офис рекламного агентства ZenithOptimedia, заключение договора, который в числе прочего предполагал, что художник не сможет перепродать изображения, было одним из требований заказчика.","Когда Владимиру предложили оформить московский офис рекламного агентства ZenithOptimedia,",заключение,,договора," который в числе прочего предполагал, что художник не сможет перепродать изображения, было одним из требований заказчика.",,,OB  ,Ncnsnn,,,Ncmsgn,
123,"После перехода на эту страницу поисковик предложит расширенный поиск, где пользователь сможет уточнить возраст, город проживания или место работы искомого человека.","После перехода на эту страницу поисковик предложит расширенный поиск, где пользователь сможет уточнить возраст, ",город,,проживания,или место работы искомого человека.,,,ATR,Ncmsan,,,Ncnsgn,
124,"После перехода на эту страницу поисковик предложит расширенный поиск, где пользователь сможет уточнить возраст, город проживания или место работы искомого человека.","После перехода на эту страницу поисковик предложит расширенный поиск, где пользователь сможет уточнить возраст, город проживания или",место,,работы,искомого человека.,,,ATR,Ncnsan,,,Ncfsgn,
125,"Вице-мэр по ЖКХ Вячеслав ЛЕЖНИН изобразил на лице традиционную виноватую улыбку , опустил голову и кивнул , в знак полного одобрения слов начальника .","Вице-мэр по ЖКХ Вячеслав ЛЕЖНИН изобразил на лице традиционную виноватую улыбку , опустил голову и кивнул , в ",знак,полного,одобрения, слов начальника .,,,ATR,Ncmsan,,,Ncnsgn,
126,"Вице-мэр по ЖКХ Вячеслав ЛЕЖНИН изобразил на лице традиционную виноватую улыбку , опустил голову и кивнул , в знак полного одобрения слов начальника .","Вице-мэр по ЖКХ Вячеслав ЛЕЖНИН изобразил на лице традиционную виноватую улыбку , опустил голову и кивнул , в знак полного одобрения",одобрения,,слов,начальника.,,,OB  ,Ncnsgn,,,Ncnpgn,
127,"Накануне прямой линии пресс-секретарь главы правительства Дмитрий Песков пообещал , что во время программы Путин ответит на все острые вопросы .",Накануне прямой линии ,пресс-секретарь,,главы,"Накануне прямой линии пресс-секретарь главы правительства Дмитрий Песков пообещал , что во время программы Путин ответит на все острые вопросы .",,,KIN-SOC,Ncmsgy,,,Ncmsgy,
128,"Накануне прямой линии пресс-секретарь главы правительства Дмитрий Песков пообещал , что во время программы Путин ответит на все острые вопросы .",Накануне прямой линии пресс-секретарь главы,главы,,правительства,"Накануне прямой линии пресс-секретарь главы правительства Дмитрий Песков пообещал , что во время программы Путин ответит на все острые вопросы .",,,MB,Ncmsgy,,,Ncnsgn,
129,"Накануне прямой линии пресс-секретарь главы правительства Дмитрий Песков пообещал , что во время программы Путин ответит на все острые вопросы .","Накануне прямой линии пресс-секретарь главы правительства Дмитрий Песков пообещал , что во ",время,,программы,"Накануне прямой линии пресс-секретарь главы правительства Дмитрий Песков пообещал , что во время программы Путин ответит на все острые вопросы .",,,ATR,Ncnsan,,,Ncnsgn,
130,"Но что поделать, если сын наследника британского престола выбрал в невесты красавицу.","Но что поделать, если сын наследника британского престола выбрал в невесты красавицу.",сын,,наследника,"Но что поделать, если сын наследника британского престола выбрал в невесты красавицу.",,,KIN-SOC,Ncmsny,Близкое родство,,Ncmsgy,
131,"Но что поделать, если сын наследника британского престола выбрал в невесты красавицу.","Но что поделать, если сын наследника британского престола выбрал в невесты красавицу.",наследника,,престола,"Но что поделать, если сын наследника британского престола выбрал в невесты красавицу.",,,ATR,Ncmsgy,,,Ncmsgn,
132,"– Болельщик vetalSM вспоминает недавние слова президента КХЛ Александра Медведева о том, что в Сокольниках невозможно играть, а заодно обещание помочь с согласованиями для строительства нового дворца.","– Болельщик vetalSM вспоминает недавние слова президента КХЛ Александра Медведева о том, что в Сокольниках невозможно играть, а заодно обещание помочь с согласованиями для строительства нового дворца.",строительства,нового,дворца,"– Болельщик vetalSM вспоминает недавние слова президента КХЛ Александра Медведева о том, что в Сокольниках невозможно играть, а заодно обещание помочь с согласованиями для строительства нового дворца.",,,OB  ,Ncnsgn,,,Ncmsgn,
133,"Важно отметить, что на практике главным критерием, используемым ФАС при установлении навязывания, является невыгодность для контрагента условия, которое доминирующий субъект просит оставить без изменения.","Важно отметить, что на практике главным критерием, используемым ФАС при установлении навязывания, является невыгодность для контрагента условия, которое доминирующий субъект просит оставить без изменения.",установлении,,навязывания,"Важно отметить, что на практике главным критерием, используемым ФАС при установлении навязывания, является невыгодность для контрагента условия, которое доминирующий субъект просит оставить без изменения.",,,OB  ,Ncnsin,,,Ncnsgn,
134,"Важно отметить, что на практике главным критерием, используемым ФАС при установлении навязывания, является невыгодность для контрагента условия, которое доминирующий субъект просит оставить без изменения.","Важно отметить, что на практике главным критерием, используемым ФАС при установлении навязывания, является невыгодность для контрагента условия, которое доминирующий субъект просит оставить без изменения.",невыгодность,,условия,"Важно отметить, что на практике главным критерием, используемым ФАС при установлении навязывания, является невыгодность для контрагента условия, которое доминирующий субъект просит оставить без изменения.",,,PAR,Ncfsnn,,,Ncnsgn,
135,"Вице-президент Центра политических технологий Ростислав Туровский указывает, что речь в резолюции президента идет о возможном помиловании Михаила Ходорковского: ""Эта тема была фоновой на протяжении всего срока правления Медведева.",,вице-президент,,центра,"Вице-президент Центра политических технологий Ростислав Туровский указывает, что речь в резолюции президента идет о возможном помиловании Михаила Ходорковского: ""Эта тема была фоновой на протяжении всего срока правления Медведева.",,,PAR,Ncfsnn,,,Ncnsgn,
136,"Вице-президент Центра политических технологий Ростислав Туровский указывает, что речь в резолюции президента идет о возможном помиловании Михаила Ходорковского: ""Эта тема была фоновой на протяжении всего срока правления Медведева.",Вице-президент ,Центра,политических,технологий,"Ростислав Туровский указывает, что речь в резолюции президента идет о возможном помиловании Михаила Ходорковского: ""Эта тема была фоновой на протяжении всего срока правления Медведева.",,,MB,Ncmsny,,,Ncmsgn,
137,"Вице-президент Центра политических технологий Ростислав Туровский указывает, что речь в резолюции президента идет о возможном помиловании Михаила Ходорковского: ""Эта тема была фоновой на протяжении всего срока правления Медведева.","Вице-президент Центра политических технологий Ростислав Туровский указывает, что речь в резолюции президента идет о возможном ",помиловании,,Михаила," Михаила Ходорковского: ""Эта тема была фоновой на протяжении всего срока правления Медведева.",,,ATR,Ncnsln,,,Ncmsgy,
138,"Вице-президент Центра политических технологий Ростислав Туровский указывает, что речь в резолюции президента идет о возможном помиловании Михаила Ходорковского: ""Эта тема была фоновой на протяжении всего срока правления Медведева.","Вице-президент Центра политических технологий Ростислав Туровский указывает, что речь в резолюции президента идет о возможном помиловании Михаила Ходорковского: ""Эта тема была фоновой на протяжении всего срока ",правления,,Медведева,.,,,OB  ,Ncnsln,,,Ncmsgy,
139,"Вице-президент Центра политических технологий Ростислав Туровский указывает, что речь в резолюции президента идет о возможном помиловании Михаила Ходорковского: ""Эта тема была фоновой на протяжении всего срока правления Медведева.","Вице-президент Центра политических технологий Ростислав Туровский указывает, что речь в резолюции президента идет о возможном помиловании Михаила Ходорковского: ""Эта тема была фоновой на протяжении всего ",срока,,правления, срока правления Медведева.,,,SAG,Ncmsgn,,,Ncmsgy,
140,"Далее премьер рассуждает о пагубности застоя, пользе образования, среднем классе в России, проявленной еще до наступления глобального кризиса осмотрительности в проведении социально-экономической политики, а также о благах достигнутого экономического роста, которые , по мысли премьера, были бы невозможны, если бы не ""команда единомышленников"", которую Путину ""удалось сформировать и возглавить"".",Далее премьер рассуждает о,пагубности,,застоя,", пользе образования, среднем классе в России, проявленной еще до наступления глобального кризиса осмотрительности в проведении социально-экономической политики, а также о благах достигнутого экономического роста, которые , по мысли премьера, были бы невозможны, если бы не ""команда единомышленников"", которую Путину ""удалось сформировать и возглавить"".",,,ATR,Ncfsgn,,,Ncnsgn,
141,"Далее премьер рассуждает о пагубности застоя, пользе образования, среднем классе в России, проявленной еще до наступления глобального кризиса осмотрительности в проведении социально-экономической политики, а также о благах достигнутого экономического роста, которые , по мысли премьера, были бы невозможны, если бы не ""команда единомышленников"", которую Путину ""удалось сформировать и возглавить"".","Далее премьер рассуждает о пагубности застоя, ",пользе,,образования,"Далее премьер рассуждает о пагубности застоя, пользе образованияэкономического роста, которые , по мысли премьера, были бы невозможны, если бы не ""команда единомышленников"", которую Путину ""удалось сформировать и возглавить"".",,,PAR,Ncfsgn,,,Ncmsgn,
142,"Далее премьер рассуждает о пагубности застоя, пользе образования, среднем классе в России, проявленной еще до наступления глобального кризиса осмотрительности в проведении социально-экономической политики, а также о благах достигнутого экономического роста, которые , по мысли премьера, были бы невозможны, если бы не ""команда единомышленников"", которую Путину ""удалось сформировать и возглавить"".","Далее премьер рассуждает о пагубности застоя, пользе образования, среднем классе в России, проявленной еще до ",наступления,глобального,кризиса,"осмотрительности в проведении социально-экономической политики, а также о благах достигнутого экономического роста, которые , по мысли премьера, были бы невозможны, если бы не ""команда единомышленников"", которую Путину ""удалось сформировать и возглавить"".",,,PAR,Ncnsgn,,,Ncmsgn,
143,"Далее премьер рассуждает о пагубности застоя, пользе образования, среднем классе в России, проявленной еще до наступления глобального кризиса осмотрительности в проведении социально-экономической политики, а также о благах достигнутого экономического роста, которые , по мысли премьера, были бы невозможны, если бы не ""команда единомышленников"", которую Путину ""удалось сформировать и возглавить"".","Далее премьер рассуждает о пагубности застоя, пользе образования, среднем классе в России, проявленной еще до наступления глобального кризиса осмотрительности в ",проведении,социально-экономической,политики,", а также о благах достигнутого экономического роста, которые , по мысли премьера, были бы невозможны, если бы не ""команда единомышленников"", которую Путину ""удалось сформировать и возглавить"".",,,OB,Ncnsgln,,,Ncfsgn,
144,"Далее премьер рассуждает о пагубности застоя, пользе образования, среднем классе в России, проявленной еще до наступления глобального кризиса осмотрительности в проведении социально-экономической политики, а также о благах достигнутого экономического роста, которые , по мысли премьера, были бы невозможны, если бы не ""команда единомышленников"", которую Путину ""удалось сформировать и возглавить"".","Далее премьер рассуждает о пагубности застоя, пользе образования, среднем классе в России, проявленной еще до наступления глобального кризиса осмотрительности в проведении социально-экономической политики, а также о ",благах,достигнутого экономического,роста,", которые , по мысли премьера, были бы невозможны, если бы не ""команда единомышленников"", которую Путину ""удалось сформировать и возглавить"".",,,PAR,Ncfsnn,,,Ncmpgy,
145,"Открывая заседание, полпред Президента РФ в УрФО Николай Винниченко дал характеристику развития агропромышленного комплекса по регионам.","Открывая заседание,",полпред,,Президента,РФ в УрФО Николай Винниченко дал характеристику развития агропромышленного комплекса по регионам.,,,KIN-SOC,Ncmsny,,,Ncmsgy,
146,"Открывая заседание, полпред Президента РФ в УрФО Николай Винниченко дал характеристику развития агропромышленного комплекса по регионам.","Открывая заседание, полпред ",Президента,,РФ,в УрФО Николай Винниченко дал характеристику развития агропромышленного комплекса по регионам.,,,MB,Ncmsgy,,,Ncfsgn,
147,"Открывая заседание, полпред Президента РФ в УрФО Николай Винниченко дал характеристику развития агропромышленного комплекса по регионам.","Открывая заседание, полпред Президента РФ в УрФО Николай Винниченко дал ",характеристику,,развития,агропромышленного комплекса по регионам.,,,PAR,Ncfsdn,,,Ncnsgn,
148,"Открывая заседание, полпред Президента РФ в УрФО Николай Винниченко дал характеристику развития агропромышленного комплекса по регионам.","Открывая заседание, полпред Президента РФ в УрФО Николай Винниченко дал характеристику ",развития,агропромышленного,комплекса,по регионам.,,,SPA,Ncnsgn,,,Ncmsgn,
149,"В церемонии вручения премий приняли также участие первый заместитель председателя правительства Свердловской области — министр экономики Михаил Максимов, министр общего и профессионального образования Сергей Черепанов, министр по физической культуре и спорту Леонид Рапопорт, ректор Уральского федерального университета имени первого Президента России Он также подчеркнул, что официально в инспекцию никаких заявлений от работников не поступало о задолженностях, не поступало .",В ,церемонии,,вручения," премий приняли также участие первый заместитель председателя правительства Свердловской области — министр экономики Михаил Максимов, министр общего и профессионального образования Сергей Черепанов, министр по физической культуре и спорту Леонид Рапопорт, ректор Уральского федерального университета имени первого Президента России Он также подчеркнул, что официально в инспекцию никаких заявлений от работников не поступало о задолженностях, не поступало .",,,ATR,Ncfsln,,,Ncnsgn,
150,"В церемонии вручения премий приняли также участие первый заместитель председателя правительства Свердловской области — министр экономики Михаил Максимов, министр общего и профессионального образования Сергей Черепанов, министр по физической культуре и спорту Леонид Рапопорт, ректор Уральского федерального университета имени первого Президента России Он также подчеркнул, что официально в инспекцию никаких заявлений от работников не поступало о задолженностях, не поступало .",В церемонии ,вручения,,премий," приняли также участие первый заместитель председателя правительства Свердловской области — министр экономики Михаил Максимов, министр общего и профессионального образования Сергей Черепанов, министр по физической культуре и спорту Леонид Рапопорт, ректор Уральского федерального университета имени первого Президента России Он также подчеркнул, что официально в инспекцию никаких заявлений от работников не поступало о задолженностях, не поступало .",,,OB  ,Ncnsgn,,,Ncfpgn,
151,"В церемонии вручения премий приняли также участие первый заместитель председателя правительства Свердловской области — министр экономики Михаил Максимов, министр общего и профессионального образования Сергей Черепанов, министр по физической культуре и спорту Леонид Рапопорт, ректор Уральского федерального университета имени первого Президента России Он также подчеркнул, что официально в инспекцию никаких заявлений от работников не поступало о задолженностях, не поступало .",В церемонии вручения премий приняли также участие первый ,заместитель,,председателя," правительства Свердловской области — министр экономики Михаил Максимов, министр общего и профессионального образования Сергей Черепанов, министр по физической культуре и спорту Леонид Рапопорт, ректор Уральского федерального университета имени первого Президента России Он также подчеркнул, что официально в инспекцию никаких заявлений от работников не поступало о задолженностях, не поступало .",,,KIN-SOC,Ncmsny,,,Ncmsgy,
152,"В церемонии вручения премий приняли также участие первый заместитель председателя правительства Свердловской области — министр экономики Михаил Максимов, министр общего и профессионального образования Сергей Черепанов, министр по физической культуре и спорту Леонид Рапопорт, ректор Уральского федерального университета имени первого Президента России Он также подчеркнул, что официально в инспекцию никаких заявлений от работников не поступало о задолженностях, не поступало .","В церемонии вручения премий приняли также участие первый заместитель председателя правительства Свердловской области — министр экономики Михаил Максимов, министр общего и профессионального образования Сергей Черепанов, министр по физической культуре и спорту Леонид Рапопорт, ректор Уральского федерального университета имени первого Президента России Он также подчеркнул, что официально в инспекцию никаких заявлений от работников не поступало о задолженностях, не поступало .",председателя,,правительства," Свердловской области — министр экономики Михаил Максимов, министр общего и профессионального образования Сергей Черепанов, министр по физической культуре и спорту Леонид Рапопорт, ректор Уральского федерального университета имени первого Президента России Он также подчеркнул, что официально в инспекцию никаких заявлений от работников не поступало о задолженностях, не поступало .",,,MB,Ncmsgy,,,Ncnsgn,
