№,Вершина,Зависимое,Лемма вершины,Лемма зависимого,Форма вершины,Форма зависимого,Производящее вершины,Производящее зависимого,Отношение,Гиперонимы вершины,Гиперонимы зависимого,Гиперонимы вершины WV,Гиперонимы зависимого WV,Ярлык
73,племянник,чародея,племянник,чародей,Ncmsny,Ncmsgy,N,N,KIN-SOC,"['микрокосм', 'племянник', 'индивид', 'человек', 'родной', 'личностный', 'родственник', 'личность', 'человеческий', 'персона', 'родня', 'индивидуум', 'люди', 'родственник-мужчина', 'человечий', 'сродственник', 'людской', 'мужчина, человек мужского пола', 'человеческая личность', 'лицо', 'особа']","['микрокосм', 'чародей', 'индивид', 'человек по сфере деятельности', 'человек', 'личностный', 'личность', 'человеческий', 'персона', 'живой организм', 'индивидуум', 'люди', 'плохой человек', 'человечий', 'субъект деятельности', 'правонарушитель', 'биологическая сущность', 'людской', 'человеческая личность', 'лицо', 'особа', 'воинское звание']",родственник,исполнитель,,
74,платежи,покупателя,платеж,покупатель,Ncmpan,Ncmsgy,Vn,N,SAG,"['предоставить', 'сделать', 'происходящая сущность', 'отдать', 'мера, мероприятие', 'смена состояний', 'влиять, воздействовать', 'высказать', 'целенаправленное действие', 'предложить', 'отдать, дать, предоставить', 'совершать действие', 'выдать (дать, вручить)', 'дать', 'платеж', 'делаться', 'совершить действие', 'совершение действия', 'процесс', 'создать', 'действие, целенаправленное действие', 'акт', 'правовой документ', 'поступок человека', 'делать', 'действовать', 'действие']","['постоянная сущность', 'покупатель', 'субъект деятельности']",изменение,исполнитель,,
75,представителя,племени,представитель,племя,Ncmsgy,Ncnsgn,Vt,N,MB,"['микрокосм', 'сотрудник', 'служащий (работник)', 'служащая', 'индивид', 'представитель', 'рабочие руки', 'человек', 'труженик', 'специалист', 'личностный', 'должностное лицо', 'личность', 'труженица)', 'человеческий', 'представитель интересов', 'персона', 'человек по роли', 'живой организм', 'трудящийся', 'индивидуум', 'люди', 'плохой человек', 'человечий', 'труженица', 'субъект деятельности', 'правонарушитель', 'служащий', 'служащий гражданин)', 'работник', 'специалистка', 'работница', 'биологическая сущность', 'людской', 'трудящийся человек', 'человеческая личность', 'лицо', 'сотрудница', 'постоянная сущность', 'особа', 'воинское звание']",['племя'],руководитель,группа,,
76,особенности,охоты,особенность,охота,Ncfpnn,Ncfsgn,A,Vt,PAR,"['свойство,характеристика', 'абстрактная сущность', 'разность', 'неодинаковость', 'постоянная сущность', 'особенность', 'свойство, характеристика']","['абстрактная сущность', 'ловля добычи', 'захватить, завладеть', 'чувство, эмоция', 'овладеть (стать обладателем)', 'охота', 'ментальный объект', 'отнять, лишить']",свойство,способность,,
77,поиск,донора,поиск,донор,Ncmsan,Ncmsgy,Vt,N,OB,"['документ', 'сделать', 'происходящая сущность', 'мера, мероприятие', 'смена состояний', 'влиять, воздействовать', 'отношение между сущностями', 'целенаправленное действие', 'совершать действие', 'делаться', 'совершить действие', 'обуславливать', 'совершение действия', 'способствовать', 'поиск', 'процесс', 'создать', 'действие человека', 'обуславливать, способствовать', 'действие, целенаправленное действие', 'акт', 'правовой документ', 'поступок человека', 'делать', 'действовать', 'действие']","['микрокосм', 'индивид', 'человек', 'личностный', 'личность', 'человеческий', 'персона', 'человек по роли', 'живой организм', 'индивидуум', 'люди', 'плохой человек', 'человечий', 'субъект деятельности', 'правонарушитель', 'биологическая сущность', 'людской', 'человеческая личность', 'лицо', 'донор', 'особа', 'воинское звание']",создание,человек,,
78,опеку,парня,опека,парень,Ncfsan,Ncmsgy,Vt,N,SAG,"['покровительство (защита, заступничество)', 'покровительство', 'опека', 'содействие', 'участие, участвовать', 'отношения между людьми', 'заботиться, окружить заботой', 'оберегать, защищать', 'охранять', 'влиять, воздействовать']",['парень'],учреждение,человек,,
79,отец,живописца,отец,живописец,Ncmsny,Ncmsgy,N,N,KIN-SOC,"['микрокосм', 'христианин', 'отец', 'христианский священнослужитель', 'индивид', 'человек', 'родной', 'личностный', 'родственник', 'личность', 'близкая родня', 'человеческий', 'персона', 'родня', 'человек по роли', 'родная кровь', 'индивидуум', 'люди', 'родственник-мужчина', 'человечий', 'сродственник', 'религиозный деятель', 'член семьи', 'верующий', 'людской', 'мужчина, человек мужского пола', 'человеческая личность', 'лицо', 'служитель культа', 'человек по взглядам', 'родитель', 'особа', 'близкий родственник', 'православный христианин']","['создатель', 'микрокосм', 'известный человек', 'индивид', 'художник (автор изобразительного произведения)', 'человек', 'личностный', 'личность', 'человеческий', 'персона', 'автор', 'авторитетный человек', 'индивидуум', 'люди', 'человечий', 'субъект деятельности', 'творческий работник', 'людской', 'деятель искусства', 'человеческая личность', 'деятель', 'лицо', 'особа', 'живописец']",родственник,исполнитель,,
80,консолидация,усилий,консолидация,усилие,Ncfsnn,Ncnpgn,Vt,N,OB,['консолидация'],"['трудиться', 'попытка', 'сделать', 'пробовать', 'происходящая сущность', 'постараться', 'пытаться', 'мера, мероприятие', 'смена состояний', 'влиять, воздействовать', 'целенаправленное действие', 'проба', 'совершать действие', 'стараться', 'делаться', 'совершить действие', 'совершение действия', 'процесс', 'создать', 'потрудиться', 'усилие', 'акт', 'поступок человека', 'правовой документ', 'делать', 'действовать', 'действие']",создание,способность,,
81,работа,групп,работа,группа,Ncfsnn,Ncfpgn,Vn,N,SAG,"['работа', 'деятельность', 'сделать', 'происходящая сущность', 'занятие', 'занятие, деятельность', 'мера, мероприятие', 'смена состояний', 'влиять, воздействовать', 'целенаправленное действие', 'совершать действие', 'делаться', 'совершить действие', 'совершение действия', 'процесс, смена состояний', 'процесс', 'создать', 'акт', 'правовой документ', 'поступок человека', 'постоянная сущность', 'делать', 'действовать', 'действие']","['физически существующая сущность', 'группа', 'состав', 'субъект деятельности', 'совокупность людей', 'целое', 'постоянная сущность', 'физическая сущность', 'суть,существо,сущность,содержание', 'вещество', 'совокупность']",организация,группа,,
82,строительство,домов,строительство,дом,Ncnsnn,Ncmpgn,Vt,N,OB,"['воздействовать', 'создать', 'обуславливать, способствовать', 'обуславливать', 'целенаправленное действие', 'происходящая сущность', 'участие, участвовать', 'отношения между людьми', 'строительство', 'влиять', 'способствовать', 'влиять, воздействовать']","['физически существующая сущность', 'сооружение, постройка', 'дом', 'имущество, собственность', 'физический объект', 'физическая сущность', 'место в пространстве', 'убежище, укрытие', 'недвижимое имущество', 'военный объект', 'роль, положение, место']",создание,родственник,,
83,заместитель,председателя,заместитель,председатель,Ncmsny,Ncmsgy,Vt,N,KIN-SOC,"['заместитель', 'сотрудник', 'служащий (работник)', 'служащая', 'рабочие руки', 'труженик', 'специалист', 'должность', 'должностное лицо', 'административная должность', 'труженица)', 'трудящийся', 'заместитель должностного лица', 'труженица', 'служащий', 'служащий гражданин)', 'работник', 'специалистка', 'роль, положение, место', 'работница', 'трудящийся человек', 'сотрудница']","['руководитель', 'микрокосм', 'индивид', 'человек', 'личностный', 'личность', 'лидер', 'человеческий', 'персона', 'живой организм', 'индивидуум', 'люди', 'плохой человек', 'воинское звание', 'человечий', 'субъект деятельности', 'правонарушитель', 'биологическая сущность', 'людской', 'человеческая личность', 'лицо', 'особа', 'председатель']",должность,руководитель,,
84,председателя,правительства,председатель,правительство,Ncmsgy,Ncnsgn,Vt,N,MB,"['руководитель', 'микрокосм', 'индивид', 'человек', 'личностный', 'личность', 'лидер', 'человеческий', 'персона', 'живой организм', 'индивидуум', 'люди', 'плохой человек', 'воинское звание', 'человечий', 'субъект деятельности', 'правонарушитель', 'биологическая сущность', 'людской', 'человеческая личность', 'лицо', 'особа', 'председатель']","['администрация', 'государственный орган', 'группа людей', 'групповой', 'группа лиц', 'состав', 'ведомство', 'совокупность людей', 'орган государственной власти', 'ведомственный', 'совокупность', 'руководство', 'группа', 'исполнительный орган власти', 'субъект деятельности', 'начальство', 'орган государственного управления', 'исполнительные органы', 'управленческий аппарат', 'исполнительный орган государственной власти', 'орган исполнительной власти', 'целое', 'правительство', 'руководство, начальство', 'административный']",руководитель,организация,,
85,директором,департамента,директор,департамент,Ncmsiy,Ncmsgn,N,N,MB,"['директор', 'личностный', 'людской', 'индивидуум', 'руководитель', 'люди', 'должность', 'микрокосм', 'административная должность', 'лидер', 'личность', 'человек', 'лицо', 'человеческая личность', 'человеческий', 'человечий', 'индивид', 'персона', 'особа', 'глава организации']","['формирование, подразделение', 'департамент', 'субъект деятельности', 'постоянная сущность', 'структурное подразделение']",руководитель,отдел,,
86,департамента,мчс,департамент,мчс,Ncmsgn,Ncnsgn,N,N,WH,"['формирование, подразделение', 'департамент', 'субъект деятельности', 'постоянная сущность', 'структурное подразделение']",['мчс'],отдел,отдел,,
87,управления,защиты,управление,защита,Nsnsgn,Nsfsgn,Vt,Vt,OB,"['заведение', 'организация, учреждение', 'организация', 'экономический агент', 'управление', 'предприятие', 'контора', 'субъект деятельности', 'постоянная сущность', 'учреждение', 'занятие, деятельность', 'институция', 'учрежденческий']","['покровительство (защита, заступничество)', 'воздействовать', 'обуславливать, способствовать', 'содействие', 'целенаправленное действие', 'происходящая сущность', 'участие, участвовать', 'отношения между людьми', 'влиять', 'оберегать, защищать', 'защита', 'охранять', 'влиять, воздействовать']",отдел,устройство,,
88,защиты,информации,защита,информация,Nsfsgn,Ncfsgn,Vt,N,OB,"['покровительство (защита, заступничество)', 'воздействовать', 'обуславливать, способствовать', 'содействие', 'целенаправленное действие', 'происходящая сущность', 'участие, участвовать', 'отношения между людьми', 'влиять', 'оберегать, защищать', 'защита', 'охранять', 'влиять, воздействовать']","['абстрактная сущность', 'постоянная сущность', 'информация']",устройство,документ,,
89,обеспечения,безопасности,обеспечение,безопасность,Nsnsgn,Ncfsgn,Vt,A,OB,"['удовлетворить требования, желания', 'выполнить, исполнить, осуществить', 'происходящая сущность', 'обеспечение']","['обстоятельства, обстановка, условия', 'обстоятельства,обстановка,условия', 'безопасность']",создание,устройство,,
90,безопасности,работ,безопасность,работа,Ncfsgn,Ncfpgn,A,Vn,PAR,"['обстоятельства, обстановка, условия', 'обстоятельства,обстановка,условия', 'безопасность']","['работа', 'деятельность', 'сделать', 'происходящая сущность', 'занятие', 'занятие, деятельность', 'мера, мероприятие', 'смена состояний', 'влиять, воздействовать', 'целенаправленное действие', 'совершать действие', 'делаться', 'совершить действие', 'совершение действия', 'процесс, смена состояний', 'процесс', 'создать', 'акт', 'правовой документ', 'поступок человека', 'постоянная сущность', 'делать', 'действовать', 'действие']",устройство,организация,,
91,работ,ведомства,работа,ведомство,Ncfpgn,Ncnsgn,Vn,N,SAG,"['работа', 'деятельность', 'сделать', 'происходящая сущность', 'занятие', 'занятие, деятельность', 'мера, мероприятие', 'смена состояний', 'влиять, воздействовать', 'целенаправленное действие', 'совершать действие', 'делаться', 'совершить действие', 'совершение действия', 'процесс, смена состояний', 'процесс', 'создать', 'акт', 'правовой документ', 'поступок человека', 'постоянная сущность', 'делать', 'действовать', 'действие']","['государственная организация', 'государственный орган', 'ведомство', 'орган (организация, учреждение)', 'орган государственной власти']",организация,учреждение,,
92,подписание,соглашения,подписание,соглашение,Ncnsnn,Ncnsgn,Vt,Vn,OB,['подписание'],"['документ', 'текст', 'соглашение', 'отношение между сущностями', 'соглашение, договоренность', 'сходство', 'согласие, общность точек зрения', 'запись (то, что записано)', 'обязательство']",документ,документ,,
93,глава,мид,глава,мид,Ncmsny,Ncnsgn,N,N,MB,"['микрокосм', 'индивид', 'человек', 'личностный', 'личность', 'лидер', 'человеческий', 'персона', 'живой организм', 'индивидуум', 'люди', 'плохой человек', 'глава', 'человечий', 'субъект деятельности', 'правонарушитель', 'биологическая сущность', 'людской', 'человеческая личность', 'лицо', 'постоянная сущность', 'особа', 'звание', 'воинское звание']","['исполнительный орган власти', 'администрация', 'управленческий аппарат', 'исполнительный орган государственной власти', 'ведомство', 'министерство', 'мид', 'орган исполнительной власти', 'орган государственной власти', 'орган государственного управления', 'ведомственный', 'исполнительные органы', 'административный']",глава,руководитель,,
94,президенте,рф,президент,рф,Ncmsly,Ncfsgn,N,N,MB,"['личностный', 'людской', 'индивидуум', 'руководитель', 'люди', 'микрокосм', 'личность', 'лидер', 'человеческая личность', 'человечий', 'лицо', 'глава государства', 'человеческий', 'индивид', 'государственный деятель', 'особа', 'персона', 'человек', 'политический деятель', 'президент']","['предметный', 'рф', 'общегосударственный', 'державный', 'этническая общность', 'национальный', 'федеративное государство', 'страна мира', 'публично-правовое образование', 'государство', 'государственный', 'держава', 'вещичка', 'вещественный', 'союз (объединение)', 'субъект права', 'государство мира', 'общенациональный', 'субъект деятельности', 'страновой', 'вещь', 'вещевой', 'страна', 'многонациональное государство', 'постоянная сущность', 'вещица', 'предмет', 'объединение (то, что объединено)']",глава,глава,,
95,вдова,артиста,вдова,артист,Ncfsnn,Ncmsgy,N,N,KIN-SOC,"['незамужняя женщина', 'микрокосм', 'индивид', 'человек', 'семейное положение', 'родной', 'личностный', 'родственник', 'взрослая женщина', 'личность', 'близкая родня', 'человеческий', 'персона', 'родня', 'родная кровь', 'индивидуум', 'переживший супруг', 'люди', 'человечий', 'сродственник', 'член семьи', 'не состоящий в браке', 'людской', 'супруги', 'человеческая личность', 'лицо', 'особа', 'близкий родственник', 'вдова']","['создатель', 'микрокосм', 'известный человек', 'исполнитель произведения', 'индивид', 'человек', 'личностный', 'личность', 'человеческий', 'артист', 'персона', 'живой организм', 'авторитетный человек', 'индивидуум', 'люди', 'плохой человек', 'человечий', 'субъект деятельности', 'правонарушитель', 'творческий работник', 'биологическая сущность', 'людской', 'деятель искусства', 'человеческая личность', 'деятель', 'лицо', 'особа', 'воинское звание']",родственник,исполнитель,,
96,состояние,его,состояние,он,Ncnsan,P-3msan,A,N,PAR,"['обстоятельства, обстановка, условия', 'состояние']",['он'],свойство,родственник,,
97,тяжесть,течения,тяжесть,течение,Ncnsan,Ncnsgn,A,Vn,PAR,"['тяжесть', 'большой,значительность']","['процесс', 'поток (движущаяся масса)', 'течение', 'физический объект', 'происходящая сущность', 'поток воды', 'движение, перемещение', 'смена состояний', 'процесс, смена состояний']",свойство,событие,,
98,течения,заболевания,течение,заболевание,Ncnsgn,Ncnsgn,A,Vn,PAR,"['процесс', 'поток (движущаяся масса)', 'течение', 'физический объект', 'происходящая сущность', 'поток воды', 'движение, перемещение', 'смена состояний', 'процесс, смена состояний']","['пребывать в состоянии', 'свойство,характеристика', 'принудить, заставить', 'физическое самочувствие', 'недостаток, неправильность', 'нарушить состояние, ход', 'повреждение здоровья', 'отношение между сущностями', 'качество', 'заболевание', 'качество (степень ценности,пригодности)', 'признак', 'свойство', 'характеристика', 'пережить, испытать', 'повреждение (недостаток)', 'прекратить, положить конец']",событие,изменение,,
99,мужем,людмилы,муж,людмила,Ncmsiy,Npfsgy,N,N,KIN-SOC,"['родной', 'супруги', 'мужчина, человек мужского пола', 'родственник', 'совершеннолетний, взрослый человек', 'статус', 'муж', 'близкая родня', 'взрослый мужчина', 'член семьи', 'сродственник', 'родня', 'человек по роли', 'близкий родственник', 'родная кровь', 'семейное положение']",['людмила'],родственник,исполнитель,,
100,отбор,автомобилей,отбор,автомобиль,Ncmsan,Ncmpgn,Vt,N,OB,['отбор'],"['аппаратный', 'техническое приспособление', 'подвижной состав', 'транспортное средство', 'аппаратурный', 'техсредство', 'автомототранспортный', 'транспортная машина', 'машина', 'техническое оборудование', 'технологическое устройство', 'машинно-техническая продукция', 'система', 'автомототранспортное средство', 'технический', 'машинка', 'транспорт', 'техническая система', 'автомобиль', 'средство транспорта', 'автомототехника', 'машинный', 'автомототранспортная техника', 'машинная продукция', 'машинно-технический', 'техническое устройство', 'автомототранспорт', 'аппаратура', 'средство автомототранспорта', 'техника', 'техническая аппаратура', 'продукция автомобильной промышленности', 'автомотосредство', 'автотранспортная техника', 'автомобильная техника', 'аппаратное средство', 'механизм', 'устройство', 'технический инструмент', 'средство передвижения', 'техническое средство', 'технический аппарат', 'автотехника', 'аппарат', 'технологическая система']",качество,документ,,
101,имени,производителей,имя,производитель,Ncnsgn,Ncmpgy,N,Vt,POS,"['знак, обозначение', 'имя', 'изображение (результат)', 'название, наименование']","['субъект деятельности', 'постоянная сущность', 'производитель']",глава,исполнитель,,
102,папа,первоклассника,папа,первоклассник,Ncmsny,Nsmcgy,N,N,KIN-SOC,"['микрокосм', 'индивид', 'человек', 'папа', 'родной', 'личностный', 'родственник', 'личность', 'человеческий', 'персона', 'родня', 'индивидуум', 'люди', 'родственник-мужчина', 'человечий', 'сродственник', 'людской', 'мужчина, человек мужского пола', 'человеческая личность', 'лицо', 'особа']","['ребята', 'ученик учебного заведения', 'дети', 'школьник', 'несовершеннолетние дети', 'ребенок', 'детки', 'первоклассник', 'ребеночек', 'младший школьник']",родственник,предмет,,
103,ворот,соперника,ворота,соперник,Ncmpgn,Ncmsgy,N,Vn,POS,"['физически существующая сущность', 'предмет, вещь', 'способ, средство', 'инструмент', 'потребительские товары', 'предметный', 'спортивный инвентарь', 'место в пространстве', 'инструментарий', 'приспособление', 'орудие', 'вещичка', 'вещественный', 'вход, место входа', 'приспособление, инструмент', 'средство', 'промышленная продукция', 'непродовольственные товары', 'вещь', 'физическая сущность', 'товар', 'дверь, дверная плита', 'роль, положение, место', 'ворота', 'вещевой', 'вещица', 'предмет']","['субъект деятельности', 'постоянная сущность', 'соперник']",глава,исполнитель,,
104,лидер,боевиков,лидер,боевик,Ncmsny,Ncmpgy,N,N,MB,"['физически существующая сущность', 'микрокосм', 'индивид', 'человек', 'личностный', 'личность', 'лидер', 'человеческий', 'персона', 'живой организм', 'индивидуум', 'люди', 'плохой человек', 'человечий', 'субъект деятельности', 'правонарушитель', 'физическая сущность', 'биологическая сущность', 'людской', 'человеческая личность', 'лицо', 'постоянная сущность', 'особа', 'звание', 'воинское звание']","['боевик', 'участник', 'субъект деятельности', 'постоянная сущность', 'живой организм', 'человек', 'звание', 'воинское звание', 'биологическая сущность']",руководитель,группа,,
105,гибели,садиста,гибель,садист,Ncfsgn,Ncmsgy,Vn,N,SPA,"['перестать, прекратить (что-то делать)', 'гибель', 'кончиться,прекратиться', 'исчезнуть (перестать существовать)']","['личностный', 'людской', 'индивидуум', 'люди', 'микрокосм', 'плохой человек', 'личность', 'человеческая личность', 'человечий', 'лицо', 'человеческий', 'извращенец', 'жестокий человек', 'индивид', 'садист', 'особа', 'персона', 'человек']",событие,деятель,,
106,здоровье,человека,здоровье,человек,Ncnsan,Ncmsgy,A,N,PAR,"['состояние организма', 'обстоятельства, обстановка, условия', 'состояние, внутренние обстоятельства', 'здоровье']","['физически существующая сущность', 'тип, вид, класс', 'класс', 'человек', 'категория', 'вид', 'разряд', 'название', 'видовой', 'живой организм', 'наименование', 'род', 'тип классификации', 'класс в классификации', 'подразделение классификации', 'подразделение', 'субъект деятельности', 'физическая сущность', 'тип', 'биологическая сущность', 'класс классификации', 'название, наименование', 'постоянная сущность', 'звание', 'воинское звание']",способность,человек,,
107,мама,чемпиона,мама,чемпион,Ncfsny,Ncmsgy,N,N,KIN-SOC,"['микрокосм', 'родственница', 'индивид', 'выше женщина, человек женского пола', 'человек', 'родной', 'личностный', 'мама', 'родственник', 'женщина', 'личность', 'близкая родня', 'человеческий', 'персона', 'родня', 'человек по роли', 'родная кровь', 'человек женского пола', 'индивидуум', 'люди', 'человечий', 'сродственник', 'член семьи', 'людской', 'человеческая личность', 'лицо', 'родитель', 'особа', 'близкий родственник']","['личностный', 'людской', 'индивидуум', 'люди', 'микрокосм', 'личность', 'человек', 'спортсмен', 'субъект деятельности', 'лицо', 'человеческая личность', 'человеческий', 'постоянная сущность', 'человечий', 'индивид', 'персона', 'человек по сфере деятельности', 'победитель', 'особа', 'чемпион']",родственник,глава,,
108,учеником,города,ученик,город,Ncmsiy,Ncmsgn,N,N,MB,"['микрокосм', 'сотрудник', 'индивид', 'рабочие руки', 'труженик', 'человек', 'специалист', 'личностный', 'человек по способностям', 'труженица)', 'личность', 'человеческий', 'персона', 'живой организм', 'трудящийся', 'индивидуум', 'люди', 'плохой человек', 'труженица', 'человечий', 'субъект деятельности', 'правонарушитель', 'работник', 'служащий', 'знаток', 'специалистка', 'ученик', 'работница', 'биологическая сущность', 'людской', 'трудящийся человек', 'человеческая личность', 'лицо', 'сотрудница', 'особа', 'воинское звание']","['административно-территориальная единица государства', 'административно-территориальное образование', 'городское поселение', 'территориальное образование', 'административно-территориальная единица', 'публично-правовое образование', 'территория', 'субъект права', 'участок', 'город', 'объект административно-территориального деления', 'субъект деятельности', 'муниципальное образование', 'территориальная единица', 'территория, участок']",исполнитель,родственник,,
109,приятель,героя,приятель,герой,Ncmsny,Ncmsgy,N,N,KIN-SOC,"['личностный', 'людской', 'индивидуум', 'люди', 'микрокосм', 'знакомый человек', 'приятель', 'личность', 'человеческая личность', 'человечий', 'лицо', 'человеческий', 'индивид', 'персона', 'человек по роли', 'особа', 'человек']","['физически существующая сущность', 'микрокосм', 'индивид', 'человек', 'личностный', 'личность', 'человеческий', 'герой', 'персона', 'живой организм', 'индивидуум', 'люди', 'плохой человек', 'человечий', 'субъект деятельности', 'правонарушитель', 'физическая сущность', 'биологическая сущность', 'людской', 'человеческая личность', 'лицо', 'постоянная сущность', 'особа', 'звание', 'воинское звание']",родственник,исполнитель,,
110,возбуждение,дела,возбуждение,дело,Ncnsan,Ncnsgn,Vt,N,OB,"['воздействовать', 'обуславливать, способствовать', 'возбуждение', 'отношение между сущностями', 'влиять', 'влиять, воздействовать']","['дело', 'занятие, деятельность', 'происходящая сущность']",действие,должность,,
111,соучастник,побега,соучастник,побег,Ncmsny,Ncmsgn,Vn,N,SAG,"['субъект деятельности', 'постоянная сущность', 'участник', 'соучастник']","['действие, целенаправленное действие', 'отчислить (исключить, уволить)', 'уйти (перестать заниматься)', 'целенаправленное действие', 'перестать, прекратить (что-то делать)', 'побег', 'уйти', 'трудовые отношения', 'спастись', 'удалить, исключить', 'освободиться от обязанности', 'действие']",исполнитель,действие,,
112,норме,площади,норма,площадь,Ncnsdn,Ncfsgn,A,N,ATR,"['положение, тезис', 'норма', 'правила, требования', 'положение тезис', 'мысль (то, что явилось в результате размышления)', 'мысль']","['свойство,характеристика', 'отличительное свойство', 'количество, величина, число', 'качество', 'площадь', 'свойство', 'признак', 'количество,величина,число', 'количественный параметр', 'характеристика', 'свойство, характеристика']",характеристика,часть,,
113,родители,собственника,родитель,собственник,Ncmpny,Ncmsgy,N,N,KIN-SOC,"['микрокосм', 'индивид', 'человек', 'родной', 'личностный', 'родственник', 'личность', 'близкая родня', 'человеческий', 'персона', 'родня', 'человек по роли', 'родная кровь', 'индивидуум', 'люди', 'человечий', 'сродственник', 'член семьи', 'людской', 'человеческая личность', 'лицо', 'родитель', 'особа', 'близкий родственник']","['обладатель', 'постоянная сущность', 'собственник', 'субъект деятельности']",родственник,исполнитель,,
114,неисполнение,требований,неисполнение,требование,Ncnsan,Ncnpgn,Vt,Vt,OB,['неисполнение'],"['положение, тезис', 'требование (категорическая просьба)', 'положение тезис', 'обращение (высказывание)', 'просьба, желание, пожелание', 'высказывание (то, что высказано)', 'мысль (то, что явилось в результате размышления)', 'мысль', 'требование', 'приказ (распоряжение)', 'суждение']",исполнитель,документ,,
115,благосклонностью,вора,благосклонность,вор,Ncfsin,Ncmsgy,A,N,PAR,"['благосклонность', 'межличностные отношения', 'доброжелательное отношение']","['личностный', 'похититель', 'индивидуум', 'людской', 'преступник', 'люди', 'плохой человек', 'микрокосм', 'личность', 'вор', 'человеческая личность', 'человечий', 'лицо', 'правонарушитель', 'человеческий', 'индивид', 'персона', 'особа', 'человек']",способность,человек,,
116,офис,агенства,офис,агенство,Ncmsan,Ncfsgn,N,N,POS,['офис'],"['агенство', 'организация, учреждение', 'субъект деятельности', 'постоянная сущность']",отдел,руководитель,,
117,заключение,договора,заключение,договор,Ncnsnn,Ncmsgn,Vt,Vn,OB,"['вывод, заключение', 'полагать, держаться мнения', 'мыслительный процесс', 'заключение', 'утверждение', 'решение (заключение, вывод)', 'результат, итог', 'мнение', 'суждение']","['документ', 'текст', 'договор', 'соглашение, договоренность', 'сходство', 'согласие, общность точек зрения', 'запись (то, что записано)', 'обязательство']",документ,документ,,
118,город,проживания,город,проживание,Ncmsan,Ncnsgn,N,Vn,ATR,"['административно-территориальная единица государства', 'административно-территориальное образование', 'городское поселение', 'территориальное образование', 'административно-территориальная единица', 'публично-правовое образование', 'территория', 'субъект права', 'участок', 'город', 'объект административно-территориального деления', 'субъект деятельности', 'муниципальное образование', 'территориальная единица', 'территория, участок']","['жить, обитать', 'находиться, пребывать', 'проживание', 'отношение между сущностями']",родственник,создание,,
